Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
1979,285,Entomology,Which variety of rice is an example of a multi-gene resistant variety?,IR-24,IR-36,IR-50,IR-72,None of these,B,"IR-36 is an example of a multi-gene resistant variety of rice, which helps in managing various pests and diseases."
1980,285,Entomology,Which pest appears in the early crop season (July-August) and causes rust red symptoms?,Green leaf hopper,White backed plant hopper,Rice gall midge,Rice thrips,None of these,B,The white backed plant hopper appears in the early crop season (July-August) and causes rust red symptoms in rice.
1981,285,Entomology,What is the family of the rice case worm (Nymphula depunctalis)?,Cicadelidae,Delphacidae,Pyralidae,Thripidae,None of these,C,The rice case worm (Nymphula depunctalis) belongs to the family Pyralidae in the order Lepidoptera.
1982,286,Entomology,Which insect pest of cotton is known for causing yellowing and downward rolling of leaves?,Cotton jassid,Cotton whitefly,Pink boll worm,Acrididae,None of these,A,Cotton jassid (Amrasca biguttula) causes yellowing and downward rolling/cupping of leaves due to the injection of toxins while feeding on the sap.
1983,286,Entomology,What is a characteristic symptom of damage caused by the pink boll worm?,Yellowing of leaves,Rosette flower,White waxy powder on leaves,Nibbling of rice ear head,None of these,B,The pink boll worm causes a characteristic symptom known as 'rosette flower' due to its damage to the cotton plant.
1984,286,Entomology,Which chemical is recommended for managing both jassids and whiteflies in cotton?,Dimethoate,Imidacloprid,Thiomethoxam,Malathion,None of these,B,Imidacloprid 200 SL @ 75 g a.i. /ha is recommended for effectively managing both jassids and whiteflies.
1985,286,Entomology,What is the primary damage caused by the cotton whitefly?,Nibbling of rice ear head,Loss of cell sap and interference with photosynthesis,Excessive shedding of fruiting bodies,Pink caterpillars inside flower buds,None of these,B,The cotton whitefly lowers the vitality of plants through the loss of cell sap and interferes with normal photosynthesis due to sooty mould growth on honeydew.
1986,286,Entomology,Which insect pest is known for transmitting viral diseases like leaf curl of tobacco and okra?,Cotton jassid,Cotton whitefly,Pink boll worm,Acrididae,None of these,B,"The cotton whitefly (Bemisia tabaci) is known for transmitting several viral diseases, including leaf curl of tobacco and okra."
1987,286,Entomology,What is a distinctive feature of the pink boll worm caterpillar?,White waxy powder,Wedge-shaped body,Pink color,Long hind wings,None of these,C,The caterpillars of the pink boll worm are distinctive due to their pink color.
1988,286,Entomology,Which of the following is a symptom of pink boll worm infestation?,Double seed formation,Yellowing of leaves,White waxy powder on leaves,Downward rolling of leaves,None of these,A,"Double seed formation, where two adjoining seeds join together within a damaged boll, is a symptom of pink boll worm infestation."
1989,287,Entomology,Which method is effective for managing bollworm complex in cotton?,Growing of Bt. cotton varieties,Increasing irrigation frequency,Using chemical fertilizers,Planting more trees around the field,None of these,A,Growing of Bt. cotton varieties is specifically mentioned as an effective method for managing bollworm complex.
1990,287,Entomology,What is a characteristic symptom of cotton plants attacked by bollworms?,'Flare square' (Flare-up),Yellowing of leaves,Wilting of the plant,Root rot,None of these,A,'Flare square' (Flare-up) is explicitly mentioned as a characteristic symptom of cotton plants attacked by bollworms.
1991,287,Entomology,Which parasitoid is associated with the larval stage of bollworms?,Bracon greeni,Aphidius colemani,Trichogramma brassicae,Cotesia glomerata,None of these,A,Bracon greeni is mentioned as a larval parasitoid for bollworms.
1992,287,Entomology,What is the main identification mark of the spotted bollworm?,A series of longitudinally black spots on the body with dull green colour and having tiny stout bristles,Red and black stripes on the wings,Bright yellow coloration,White spots on a blue background,None of these,A,The main identification mark of the spotted bollworm is described as a series of longitudinally black spots on the body with dull green color and having tiny stout bristles.
1993,287,Entomology,Which pest stains the lint in ginning factories when crushed with cotton?,Red cotton bug,Dusky cotton bug,American bollworm,Cotton leaf roller,None of these,A,The red cotton bug is mentioned to stain the lint in ginning factories when crushed with cotton.
1994,287,Entomology,What is a characteristic symptom of young sugarcane plants attacked by top borer caterpillars?,Reddish streaks on the midrib,Yellowing of leaves,Wilting of the plant,Root rot,None of these,A,Young sugarcane plants attacked by top borer caterpillars show characteristic reddish streaks on the midrib.
1995,287,Entomology,What is the color of the moths of the top borer pest in sugarcane?,Pure white,Bright yellow,Dark brown,Black and red,None of these,A,The moths of the top borer pest in sugarcane are described as pure white in color.
1996,288,Entomology,Which chemical is recommended for managing sugarcane leaf hopper infestations?,Carbofuran 3G,Cartap hydrochloride 4G,Malathion 50 EC,Epiricania melanoleuca,None of these,C,Malathion 50 EC is specifically recommended for spraying to manage sugarcane leaf hopper infestations.
1997,288,Entomology,What is a distinctive symptom of sugarcane leaf hopper infestation?,Leaves turn pale yellow and shrivel up,Leaves acquire a bright green appearance,Leaves develop red spots,Leaves become overly rigid,None of these,A,The distinctive symptom of sugarcane leaf hopper infestation is that the leaves turn pale yellow and shrivel up due to the loss of cell sap.
1998,288,Entomology,Which pest of sugarcane causes the crop to acquire an 'apolish green' appearance?,Sugarcane leaf hopper,Sugarcane white fly,Sugarcane mealy bug,Sugarcane shoot borer,None of these,B,The sugarcane white fly causes the crop to acquire an 'apolish green' appearance due to the yellowing streaks on the attacked leaves.
1999,288,Entomology,What is the primary method of dispersal for newly emerged army worm larvae in wheat?,Crawling on the ground,Spinning threads and using air currents,Burrowing into the soil,Jumping from plant to plant,None of these,B,The freshly emerged army worm larvae spin threads from which they suspend themselves in the air and use air currents to reach from one plant to another.
2000,288,Entomology,Which of the following is a management practice for sugarcane pests from April to June?,Application of Carbofuran 3G,Application of Cartap hydrochloride 4G,Cutting the attacked shoots at ground level,Spraying Malathion 50 EC,None of these,C,Cutting the attacked shoots at ground level is a recommended management practice for sugarcane pests from April to June.
2001,288,Entomology,Which parasitoid is effective against sugarcane leaf hopper eggs?,Aleurobolus barodensis,Saccharicoccus sacchari,Epiricania melanoleuca,Chilo infuscatellus,None of these,C,Epiricania melanoleuca is the egg parasitoid effective against sugarcane leaf hopper eggs.
2002,288,Entomology,What is a characteristic feature of sugarcane leaf hoppers?,They are slow-moving and silent,They are very agile and make a faint noise in large numbers,They have a bright red color,They are found only in isolated numbers,None of these,B,Sugarcane leaf hoppers are very agile and make a faint noise when they jump around in large numbers.
2003,289,Entomology,Which pest is known for causing 'dead hearts' in maize and wheat crops?,Maize stem borer,Wheat aphid,Ghujhia weevil,Termite,None of these,A,"The maize stem borer (*Chilo partellus*) is known for causing 'dead hearts' in maize crops. Additionally, the pink borer (*Sesamia inferens*) causes 'dead hearts' in wheat crops."
2004,289,Entomology,What is the specific pest of wheat nursery that damages germinating seedlings at the ground level?,Ghujhia weevil,Wheat aphid,Termite,Wheat mite,None of these,A,"The Ghujhia weevil (*Tanymecus indicus*) is a specific pest of wheat nursery that damages germinating seedlings at the ground level, mainly during October-November."
2005,289,Entomology,Which insect pest of pearl millet is known for cutting the central shoot of seedlings?,White grub,Termite,Red hairy caterpillar,Shoot fly,None of these,D,"The shoot fly (*Atherigona soccata*) is known for cutting the central shoot of pearl millet seedlings, leading to 'dead hearts'."
2006,289,Entomology,What is the recommended chemical for managing maize stem borer infestation?,Quinolphos 25 EC,Phorate 10 G,Carbofuran 3G,Malathion,None of these,B,Phorate 10 G @ 20 kg/ha is recommended for managing maize stem borer infestation.
2007,289,Entomology,Which pest is known for causing damage that makes the field look like it has been 'grazed by cattle'?,Army worm,Ghujhia weevil,Termite,Wheat aphid,None of these,A,"In case of severe attack by the army worm, whole leaves including the mid ribs are consumed, making the field look as if it has been 'grazed by cattle'."
2008,289,Entomology,Which of the following pests does NOT occur in India?,Maize aphid,European corn borer,Asian maize borer,Pink borer,None of these,B,The European corn borer (*Ostrinia nubilalis*) does not occur in India.
2009,289,Entomology,What is the primary management practice for controlling maize stem borer?,Destroying stubbles and weeds,Increasing irrigation,Applying fungicides,Using herbicides,None of these,A,"Destroying stubbles, weeds, and alternate hosts is a primary management practice for controlling maize stem borer."
2010,290,Entomology,Which stage of the sorghum plant is most vulnerable to attack by the sorghum shoot fly?,Six leaves stage,Flowering stage,Seedling stage,Maturity stage,None of these,A,"The sorghum shoot fly attacks the young crop when it is in the six leaves stage, making it the most vulnerable stage."
2011,290,Entomology,What is a typical symptom of sorghum shoot fly infestation in young plants?,Yellowing of leaves,Dead hearts,Wilting,Stunted growth,None of these,B,Young plants infested with sorghum shoot fly show typical 'dead hearts' symptoms due to the destruction of the growing point.
2012,290,Entomology,Which of the following management practices is effective against sorghum shoot fly?,Late sowing,Use of lower seed rate,Application of Phorate 10 G at the time of sowing,Increasing irrigation,None of these,C,Application of Phorate 10 G at the time of sowing is an effective management practice against sorghum shoot fly.
2013,290,Entomology,Which insect pest of sorghum lays cigar-shaped eggs on sorghum leaves?,Sorghum shoot fly,Sorghum midge,Sorghum ear head bug,Red spider mite,None of these,C,The sorghum ear head bug (*Calocoris angustatus*) lays cigar-shaped eggs on sorghum leaves.
2014,290,Entomology,Which of the following is a polyphagous and cosmopolitan insect pest of pulses?,Sorghum shoot fly,Gram pod borer,Sorghum midge,Red spider mite,None of these,B,The gram pod borer (*Helicoverpa armigera*) is a polyphagous and cosmopolitan insect pest that affects pulses.
2015,290,Entomology,What is the primary management practice for controlling gram pod borer?,Late sowing,Timely sowing,Increasing irrigation,Use of higher seed rate,None of these,B,"Timely sowing, up to mid-October, is a primary management practice for controlling gram pod borer."
2016,290,Entomology,Which of the following is a larval parasitoid of Helicoverpa?,Trichogramma chilonis,Cosmopletis chloridae,Phorate 10 G,Monocrotophos,None of these,B,"Cosmopletis chloridae is a larval parasitoid of Helicoverpa, used in the management of gram pod borer."
2017,291,Entomology,Which pest is known for cutting the stems of gram plants either below or above the ground?,Gram cut worm,Red gram pod fly,Tur pod bug,Bean fly,None of these,A,"The Gram cut worm (*Agrotis ipsilon*) is known for cutting the stems of gram plants either below or above the ground, especially at night."
2018,291,Entomology,What is the primary damage caused by the Red gram pod fly?,Cutting the stems of plants,Eating away parts of the seed,Sucking cell sap from leaves,Scraping the epidermis of leaves,None of these,B,"The Red gram pod fly (*Melanagromyza obtusa*) causes damage by eating away parts of the seed, making them unfit for human consumption."
2019,291,Entomology,Which management practice is effective against the Gram cut worm?,Application of Dimethoate,Application of Flubendiamide,Application of Methyl Parathion,Application of Neem oil,None of these,B,Application of Flubendiamide (Fume) @ 0.5% sprays at evening time is effective against the Gram cut worm.
2020,291,Entomology,Which pest is specific to arhar and causes damage by scraping pods and making holes?,Tur pod bug,Plume moth,Girdle beetle,Bean fly,None of these,B,The Plume moth (*Exelastis atomosa*) is specific to arhar and causes damage by scraping pods and making holes.
2021,291,Entomology,What is a characteristic behavior of the Gram cut worm larvae?,Feeding on the epidermis of leaves,Living in cracks and holes during the day,Sucking cell sap from leaves,Pupating in pods,None of these,B,The Gram cut worm larvae live in cracks and holes in the ground during the day and come out at night to feed.
2022,291,Entomology,Which pest is known for girdling the stem of soybean plants?,Tur pod bug,Plume moth,Girdle beetle,Bean fly,None of these,C,The Girdle beetle (*Oberia bravis*) is known for girdling the stem of soybean plants and making punctures before inserting eggs.
2023,291,Entomology,Which chemical is recommended for managing the Girdle beetle?,Dimethoate,Flubendiamide,Methyl Parathion,Malathion,None of these,C,Methyl Parathion 50 EC 1.25 liter/ha is recommended for managing the Girdle beetle.
2024,292,Entomology,Which insect pest of mustard is known for causing leaves to appear curly?,Mustard aphid,Painted bug,Mustard saw fly,Til hawk moth,None of these,A,"The mustard aphid, Lipaphis erysimi, causes leaves to appear curly as both nymph and adult suck cell sap from leaves, stem, inflorescence, or developing pods."
2025,292,Entomology,What is the primary method of reproduction for the mustard aphid?,Sexual reproduction,Parthenogenesis,Budding,Fragmentation,None of these,B,"The mustard aphid breeds parthenogenetically, which means they reproduce asexually without the need for fertilization."
2026,292,Entomology,Which chemical is recommended for managing the painted bug in mustard crops?,Imidacloprid,Oxydemeton methyl,Malathion,Glyphosate,None of these,C,"Malathion 50 EC is recommended for managing the painted bug, with a spray of 1 litre in 200 liters of water per hectare."
2027,292,Entomology,What is a characteristic feature of the larvae of the mustard saw fly?,Bright coloration,8 pairs of abdominal prolegs without crochets,Wings,Long antennae,None of these,B,The larvae of the mustard saw fly are characterized by having 8 pairs of abdominal prolegs without crochets.
2028,292,Entomology,Which insect pest of sesame is known for its prominent death head mark on the prothorax?,Mustard aphid,Painted bug,Mustard saw fly,Til hawk moth,None of these,D,"The Til hawk moth, Acherontiastyx, is known for having a prominent death head mark on the prothorax."
2029,292,Entomology,What is the primary damage caused by the mustard saw fly?,Curling of leaves,Excretion of resinous material,Damage by larvae,Sucking cell sap from pods,None of these,C,"The primary damage caused by the mustard saw fly is due to its larvae, which are dark green and have 8 pairs of abdominal prolegs without crochets."
2030,292,Entomology,Which biological control is effective against the mustard aphid?,Egg parasitoid: Gryon spp.,Predator ladybird beetle: Coccinella septempunctata,Spraying Malathion,Spraying Imidacloprid,None of these,B,"The predator ladybird beetle, Coccinella septempunctata, is effective in managing the mustard aphid."
2031,293,Entomology,Which insect pest of sweet potato is known for damaging crops both in the field and during storage?,Sweet potato horned caterpillar,Sweet potato weevil,Red hairy caterpillar,White grub,None of these,B,"The sweet potato weevil, *Cylas formicarius*, is known to be a pest both in the field and during storage, making it a significant threat to sweet potato crops."
2032,293,Entomology,What is a distinctive feature of the larvae of the sweet potato horned caterpillar?,Presence of characteristic anal horn,Scarlet red abdomen,Long hairs on the body,'C' shaped body,None of these,A,"The larvae of the sweet potato horned caterpillar, *Agarius convolvulus*, are distinguished by the presence of a characteristic anal horn."
2033,293,Entomology,Which polyphagous pest has caterpillars with numerous long hairs and a scarlet red abdomen?,Sweet potato weevil,Red hairy caterpillar,White grub,Sweet potato horned caterpillar,None of these,B,"The red hairy caterpillar, *Amsacta moorei*, is characterized by caterpillars with numerous long hairs and a scarlet red abdomen with black bands and dots."
2034,293,Entomology,What is a recommended method for managing hairy caterpillars in the initial stage of larvae?,Application of Diclorvos 100 EC,Dusting Quinolphos 1.5%,Digging trenches around the field and dusting methyl parathion 2%,Application of Methyl parathion 0.2% dust,None of these,C,"In the initial stage of larvae, hairy caterpillars can be managed by digging trenches around the field and dusting methyl parathion 2%."
2035,293,Entomology,"Which pest is known for its 'C' shaped larvae that feed on the roots of plants, particularly in sandy soils?",Red hairy caterpillar,Sweet potato weevil,White grub,Sweet potato horned caterpillar,None of these,C,"The white grub, *Holotrichia consanguinea*, has 'C' shaped larvae that feed on the roots of plants, causing significant damage, especially in sandy soils."
2036,293,Entomology,What is the primary damage caused by the white grub in field crops?,Defoliation of plants,Destruction of entire crop stand necessitating resowing,Feeding on growing points of plants,Damage to storage crops,None of these,B,"The primary damage caused by the white grub in field crops is the destruction of the entire crop stand, often necessitating resowing due to the severe damage to plant roots."
2037,293,Entomology,Which chemical is recommended for application at a rate of 625 ml in 500 liters of water per hectare to manage hairy caterpillars?,Methyl parathion 2%,Quinolphos 1.5%,Diclorvos 100 EC,Methyl parathion 0.2%,None of these,C,Diclorvos 100 EC is recommended for application at a rate of 625 ml in 500 liters of water per hectare to manage hairy caterpillars.
2038,294,Entomology,What is a distinctive characteristic of plants damaged by white grub infestation?,They exhibit a wilted appearance and eventually dry out.,They show yellowing of leaves and stunted growth.,They develop spots on leaves and fruits.,They have curled leaves and deformed stems.,None of these,A,Plants damaged by white grub infestation give a wilted appearance and finally dry out due to the grubs feeding on the roots and rootlets.
2039,294,Entomology,What is the primary method of white grub management involving soil treatment?,Application of Chlorpyriphos 20 EC @ 4 liter/ha,Application of Neem oil @ 5 liter/ha,Application of Urea @ 10 kg/ha,Application of Potassium @ 20 kg/ha,None of these,A,Soil application of Chlorpyriphos 20 EC @ 4 liter/ha is an effective method for managing white grub infestation in standing crops.
2040,294,Entomology,Which biological agent is effective in controlling the adult stage of white grub?,Metarhizium anisopliae,Bacillus thuringiensis,Trichoderma viride,Beauveria bassiana,None of these,A,The fungus Metarhizium anisopliae is used for biological control of the adult stage of white grub.
2041,294,Entomology,What is the primary breeding season for the Bombay locust?,Monsoon,Winter,Summer,Spring,None of these,A,The Bombay locust breeds during the monsoon in the Western Ghats.
2042,294,Entomology,Which of the following is a recommended seed treatment for managing white grub?,Clothianidin (Dantotsu) @ 4-6 g/kg,Carbendazim @ 2 g/kg,Mancozeb @ 3 g/kg,Thiram @ 5 g/kg,None of these,A,Seed treatment with Clothianidin (Dantotsu) @ 4-6 g/kg is very effective in managing white grub infestation.
2043,294,Entomology,What is the primary habitat of the Bombay locust?,Gujarat and Tamil Nadu,Maharashtra and Karnataka,Rajasthan and Punjab,Kerala and Andhra Pradesh,None of these,A,The Bombay locust is mostly confined to Gujarat and Tamil Nadu.
2044,294,Entomology,Which of the following is a cultural practice for managing white grub infestation?,Summer ploughing,Winter irrigation,Monsoon harvesting,Spring pruning,None of these,A,"Summer ploughing helps expose the hibernating stages of white grub, thereby managing the infestation."
2045,295,Entomology,Which regions are primarily affected by the Desert Locust?,Rajasthan and Gujarat,Punjab and Haryana,Maharashtra and Karnataka,Bihar and Uttar Pradesh,None of these,A,"The Desert Locust mainly occurs in Rajasthan and Gujarat, as stated in the source."
2046,295,Entomology,How many phases does the adult Desert Locust have?,1,2,3,4,None of these,B,The adult Desert Locust occurs in two phases: Solitary phase and Gregarious phase.
2047,295,Entomology,What is the primary breeding season for the Desert Locust in Rajasthan and Gujarat?,Winter-Spring,Summer-Monsoon,Autumn-Winter,Spring-Summer,None of these,B,The primary breeding season for the Desert Locust in Rajasthan and Gujarat is Summer-Monsoon.
2048,295,Entomology,How many eggs can a single female Desert Locust lay?,Up to 200 eggs,Up to 300 eggs,Up to 400 eggs,Up to 500 eggs,None of these,D,A single female Desert Locust can lay up to 500 eggs.
2049,295,Entomology,Which stage of the Desert Locust is most vulnerable for management?,Egg stage,First nymphal stage,Second and third nymphal stage,Adult stage,None of these,C,The second and third nymphal stages are the most vulnerable for management of the Desert Locust.
2050,295,Entomology,Which of the following plants is NOT typically eaten by the Desert Locust due to its polyphagous nature?,Pearl millet,Neem,Sorghum,Maize,None of these,B,"The Desert Locust does not typically eat Neem, along with a few other plants like aak, dhatura, Jamun, and sheesham."
2051,295,Entomology,What is one method to manage Desert Locust nymphs?,Using insecticides like methyl parathion 2%,Introducing natural predators,Planting more host plants,Increasing irrigation,None of these,A,One method to manage Desert Locust nymphs is by dusting methyl parathion 2% to kill the emerging nymphs.
2052,296,Entomology,Which sterile caste develops from unfertilized eggs?,Worker,Soldier,Complementary caste,Queen,None of these,B,"Soldiers arise from unfertilized eggs, whereas workers develop from fertilized eggs."
2053,296,Entomology,What is the approximate length of the queen termite?,2-3 cm,5-7.5 cm,8-10 cm,0.5-1 cm,None of these,B,The queen measures about 5.0‑7.5 cm in length.
2054,296,Entomology,During which season are colonizing individuals produced in large numbers?,Spring,Summer,Rainy season,Dry season,None of these,C,Winged individuals are produced abundantly during the rainy season.
2055,296,Entomology,What is the primary function of the soldier caste?,Egg laying,Fungus cultivation,Colony protection with sickle‑shaped mandibles,Feeding the queen,None of these,C,Soldiers protect the colony using their large heads and sickle‑shaped mandibles.
2056,296,Entomology,How many eggs can a queen termite lay in 24 hours?,"10,000‑20,000","30,000‑40,000","70,000‑80,000","100,000‑120,000",None of these,C,"The queen can lay about 70,000‑80,000 eggs in a single day."
2057,296,Entomology,Which caste is responsible for cultivating the fungus ambrosia in underground gardens?,Workers,Soldiers,King,Complementary caste,None of these,A,Workers tend the underground gardens and cultivate the fungus food.
2058,296,Entomology,At approximately what depth is the royal chamber where the queen resides located?,0.1 m,0.5 m,1 m,2 m,None of these,B,The royal chamber is situated about 0.5 m below the surface.
2059,297,Entomology,What is the most effective method to eradicate a termite colony?,Reaching the center of the nest and killing the queen and complementary forms,Applying undecomposed green manure,Using FYM at termite-susceptible fields,Treating seeds with Imidacloprid,None of these,A,"The most effective method to eradicate a termite colony is to reach the center of the nest and kill the queen and complementary forms, as this disrupts the colony's structure and reproduction."
2060,297,Entomology,Which chemical is recommended for seed treatment in wheat to protect against termites?,Fipronil 5% SC,Chlorpyriphos 20 EC,Imidacloprid,Regent,None of these,B,Chlorpyriphos 20 EC is recommended for seed treatment in wheat to protect against termites at a rate of 450 ml per 100 kg of seeds.
2061,297,Entomology,What is the application rate of Regent (Fipronil 5% SC) for termite control before sowing?,18 kg/ha,20 kg/ha,4 liter/ha,450 ml/100 kg,None of these,B,The application rate of Regent (Fipronil 5% SC) for termite control before sowing is 20 kg per hectare.
2062,297,Entomology,Which insect-pest belongs to the family Curculionidae?,Red rust flour beetle,Khapra beetle,Rice weevil,Saw tooth beetle,None of these,C,The Rice weevil (Sitophilus oryzae) belongs to the family Curculionidae.
2063,297,Entomology,What is the scientific name of the Khapra beetle?,Sitophilus granarium,Trogoderma granarium,Rhizopertha dominica,Tribolium castaneum,None of these,B,The scientific name of the Khapra beetle is Trogoderma granarium.
2064,297,Entomology,Which chemical is effective against termites in standing crops?,Imidacloprid,Chlorpyriphos 20 EC,Fipronil 5% SC,Both B and C,None of these,D,Both Chlorpyriphos 20 EC and Fipronil 5% SC are effective against termites in standing crops.
2065,297,Entomology,Which family does the Red rust flour beetle belong to?,Curculionidae,Bostrichidae,Tenebrionidae,Silvanidae,None of these,C,The Red rust flour beetle (Tribolium castaneum) belongs to the family Tenebrionidae.
2066,298,Entomology,Which of the following pests is classified as an internal feeder?,Rice weevil,Khapra beetle,Red flour beetle,Oryzaephilus,None of these,A,Rice weevil is classified as an internal feeder because its larvae and pupae remain inside the grains.
2067,298,Entomology,Which family does the Pulse beetle (gram dhora) belong to?,Bruchidae,Tenebrionidae,Gelechiidae,Phycitidae,None of these,A,The Pulse beetle (gram dhora) belongs to the Bruchidae family as indicated in the table.
2068,298,Entomology,Which of the following is a primary pest?,Tribolium castaneum,Oryzaephilus,Sitophilus,Corcyra cephalonica,None of these,C,Sitophilus is a primary pest because it infests whole grains and is capable of damaging all kinds of storage grains.
2069,298,Entomology,Which order does the Almond moth belong to?,Coleoptera,Lepidoptera,Diptera,Hymenoptera,None of these,B,The Almond moth belongs to the order Lepidoptera as indicated in the table.
2070,298,Entomology,Which of the following pests is known to infest broken or milled grains?,Rice weevil,Pulse beetle,Tribolium castaneum,Rhizopertha,None of these,C,Tribolium castaneum is a secondary pest that infests broken or milled grains.
2071,298,Entomology,Which family does the Rice moth belong to?,Bruchidae,Tenebrionidae,Pyralidae,Phycitidae,None of these,C,The Rice moth belongs to the Pyralidae family as indicated in the table.
2072,298,Entomology,"Which of the following is a serious pest of wheat, rice, and barley?",Pulse beetle,Groundnut beetle,Rice weevil,Large head four beetle,None of these,C,"The Rice weevil (Sitophilus oryzae) is a serious pest of wheat, rice, and barley."
2073,299,Entomology,Which stage of the almond moth is a germ feeder?,Larvae,Adult,Pupa,Egg,None of these,A,"Only the larvae of the almond moth are germ feeders, as explicitly stated in the source."
2074,299,Entomology,What is the recommended dosage of Malathion 5% dust for seed treatment?,250g per quintal of seeds,200g per quintal of seeds,300g per quintal of seeds,150g per quintal of seeds,None of these,A,The source specifies that the recommended dosage of Malathion 5% dust is 250g per quintal of seeds.
2075,299,Entomology,Which chemical is used for fumigation at a rate of 1 lit per 20 quintals of grains?,Ethylene Dichlorine + Carbon Tetrachloride (EDCT 3:1),Methyl bromide,Hydrogen phosphide,Aluminium phosphide,None of these,A,The source states that Ethylene Dichlorine + Carbon Tetrachloride (EDCT 3:1) is used for fumigation at a rate of 1 lit per 20 quintals of grains.
2076,299,Entomology,What is the study of individual organisms or species in relation to its environment called?,Aute ecology,Synecology,Population ecology,Biome ecology,None of these,A,Aute ecology is defined in the source as the study of individual organisms or species in relation to its environment.
2077,299,Entomology,What is the term for the production of light by living organisms?,Bioluminescence,Homeostasis,Ecological niche,Population,None of these,A,The source defines bioluminescence as the production of light by living organisms.
2078,299,Entomology,Which term refers to the tendency for biological systems to resist changes and remain in equilibrium?,Homeostasis,Bioluminescence,Ecological niche,Biome,None of these,A,Homeostasis is described in the source as the tendency for biological systems to resist changes and remain in equilibrium.
2079,299,Entomology,What is the definition of a biome?,An ecosystem of a large area with similar stable communities,A group of organisms of the same species in a particular area,The study of groups of organisms comprising different species,The physical location an organism occupies at a given time,None of these,A,The source defines a biome as an ecosystem of a large area in which the nature of stable communities is similar in appearance.
2080,300,Entomology,Which of the following is an example of insects using sound for attracting potential prey and mating behavior?,Spring tails,Cicadas,Coleoptera,All of the above,None of these,D,"The source mentions that spring tails, cicadas, and certain families of coleoptera use sound for attracting potential prey and mating behavior."
2081,300,Entomology,"What is the term for a group of similar, closely related species that are reproductively isolated but morphologically identical or nearly so?",Cryptic species,Sibling species,Sympatric species,Allopatric species,None of these,B,"The source defines sibling species as a group of similar, closely related species that are reproductively isolated but morphologically identical or nearly so."
2082,300,Entomology,What does a life table represent?,"Birth rate, causes of birth, chances of survival, and life expectancy","Death rate, causes of death, chances of survival, and life expectancy","Migration rate, causes of migration, chances of survival, and life expectancy","Growth rate, causes of growth, chances of survival, and life expectancy",None of these,B,"The source states that a life table is a tabular representation of death rate, causes of death, chances of survival, and life expectancy."
2083,300,Entomology,Who proposed the Law of Tolerance?,Charles Darwin,Gregor Mendel,V. E. Shelford,Robert H. Whittaker,None of these,C,The source mentions that the Law of Tolerance was given by V. E. Shelford in 1913.
2084,300,Entomology,What does the Law of Tolerance deal with?,The effect of temperature on the growth of plants,The limiting effect of maximum and minimum temperature on the presence and success of organisms,The effect of humidity on the reproduction of animals,The effect of light on the behavior of insects,None of these,B,The source states that the Law of Tolerance deals with the limiting effect of maximum as well as minimum temperature on the presence and success of organisms.
2085,300,Entomology,Which of the following is NOT a component of a life table?,Death rate,Causes of death,Birth rate,Life expectancy,None of these,C,"The source lists death rate, causes of death, chances of survival, and life expectancy as components of a life table, but does not mention birth rate."
2086,300,Entomology,What year was the Law of Tolerance proposed?,1900,1913,1925,1930,None of these,B,The source mentions that the Law of Tolerance was given by V. E. Shelford in 1913.
2087,301,Entomology,Who is known as the father of plant pathology?,Anton de Bary,Louis Pasteur,P.M.A. Millardet,Van Schmeling,None of these,A,Anton de Bary is recognized as the father of plant pathology due to his pioneering work in the field.
2088,301,Entomology,Which fungus is responsible for causing the wart disease of potato?,Synchytrium endobioticum,Phytophthora infestans,Plasmodiophora brassicae,Albugo candida,None of these,A,Synchytrium endobioticum is the specific fungal pathogen that causes wart disease in potatoes.
2089,301,Entomology,What is the primary component of most plant viruses?,Nucleic acid and protein,Carbohydrates and lipids,Cellulose and pectin,Chitin and lignin,None of these,A,"Most plant viruses are composed of nucleic acid and protein, which are essential for their structure and function."
2090,301,Entomology,Which chemical is effective against smut diseases?,Carboxin (Vitavax),Sulphur fungicide,Dinocap (Karathane),Tetracycline,None of these,A,Carboxin (Vitavax) is known to be very effective against smut diseases in plants.
2091,301,Entomology,What type of nucleic acid is found in the Cauliflower mosaic virus?,ds DNA,ss RNA,ds RNA,ss DNA,None of these,A,The Cauliflower mosaic virus contains double-stranded DNA (ds DNA).
2092,301,Entomology,Which bacterium is commonly used in biological control?,Pseudomonas fluorescens,Helminthosporium oryzae,Puccinia graminis tritici,Sclerospora graminicola,None of these,A,Pseudomonas fluorescens is widely used in biological control due to its ability to suppress various plant pathogens.
2093,301,Entomology,What is the largest single group of plant virus family?,Potyviridae,Bunyaviridae,Rhabdoviridae,Reoviridae,None of these,A,"Potyviridae is the largest single group of plant virus family, encompassing a wide range of plant viruses."
2094,302,Entomology,Which antibiotic is used to kill Mycoplasma-Like Organisms (MLOs) due to its action on ribosomes?,Penicillin,Tetracycline,Streptomycin,Erythromycin,None of these,B,"Tetracycline is used to kill MLOs because it acts on ribosomes, and MLOs lack a cell wall."
2095,302,Entomology,What is the primary function of Oospores in downy mildew of Bajra?,Secondary infection,Primary infection,Photosynthesis,Nutrient storage,None of these,B,Oospores in downy mildew of Bajra are resting spores responsible for primary infection.
2096,302,Entomology,Which fungus causes the late blight of potato and belongs to the order Peronosporales?,Ustilago,Puccinia,Phytophthora,Alternaria,None of these,C,Phytophthora belongs to the order Peronosporales and causes late blight of potato.
